question,answer,intent
불고기 피자에는 고기가 많이 들어가고?,그거는 불고기가 들어가는 건데 콤비네이션과는 고기가 좀 다르게 생겼고 야채는 똑같이 들어가요,토핑문의
콤비네이션에는 뭐 뭐 들어가요?,콤비네이션에는 올리브 햄 페퍼로니 야채 많이 들어가고 팝핑이라고 불고기 조금 들어가요,토핑문의
토핑이 어떤 거 올라가요?,"모차렐라치즈, 리코타, 로마노 크림치즈, 콰트로 치즈 퐁듀, 와규 크럼블, 베이컨, 돼지고기, 고구마무스, 감자, 마요네즈, 토마토소스, 선 드라이 토마토, 코코넛 허니버터 파우더 그리고 이베리코 포크 이렇게 들어갑니다",토핑문의
목동 피자는 어떤 게 들어가요?,"목동 피자는 야채, 페퍼로니하고 조금 특별한 햄, 치즈가 올라가요",토핑문의
그거는 위에 토핑이 뭐가 들어가는 거예요?,새우랑 들어갑니다,토핑문의
치즈 크러스트 위에 토핑이 뭐가 있어요?,치즈 크러스트는 테두리 부분에 치즈가 들어가는 것입니다,토핑문의
아 그러면 위에 토핑이 뭐가 올라가요?,불고기 소고기하고 볶음김치 하셨습니다,토핑문의
아 골라요 어떤 거 어떤 거 있어요?,콤비네이션 불고기 페퍼로니 하와이안 치즈 야채 고구마무스 포테이토 화이트 콤비 핫불고기 고구마 이렇게 있습니다,토핑문의
토핑은 위에 어떤 거 얹어지나요?,토핑은 고르시면 됩니다,토핑문의
토핑은 야채나 이런 것들은 어떤 게 올려져 있나요?,양파나 여러 가지 기본 야채 브로콜리 그런 게 다 들어갑니다,토핑문의
토핑은 어떤 걸로 되어있나요?,예 그거는 선택하시는 거예요 다 14000원 똑같습니다,토핑문의
모든 피자에 토핑 추가가 안되는 거예요?,네 그렇게는 안되는 걸로 알고 있어요,토핑문의
그럼 불고기 피자는 기본으로 불고기 들어갈 거고 또 어떤 토핑이 올라가죠?,피망이랑 옥수수랑 스모크햄 같은 게 올라가요,토핑문의
불고기는 안 올라가요?,네,토핑문의
벌집 피자에 고구마 말고는 토핑은 어떤 게 올라가요?,일반적으로 올라가는 옥수수나 피망 올리브 스모크햄 이런 식으로 올라가요,토핑문의
오이 빼주실 수 있으세요?,네 가능합니다,특정재료첨삭요구
네 매운 짬뽕은 아주 맵게 해서 주세요,네 더 맵게요,특정재료첨삭요구
네 그리고 치즈랑 포테이토 추가 토핑 해주세요,포테이토 피자 파티 사이즈 우리 밀 도우에 치즈 포테이토 추가 토핑 맞죠?,특정재료첨삭요구
치즈 없는 피자 만들어주실 수 있나요?,네 가능합니다,특정재료첨삭요구
청양고추 빼주시면 안 돼요?,청양고추는 안 들어가지만 베트남 고추가 들어가서 많이 맵습니다,특정재료첨삭요구
토핑 종류가 여러 가진데 한 판에 여러 개 주문해도 되나요?,"한 판에 2개까지 가능하고, 원래 가격에서 2천 원 추가됩니다",특정재료첨삭요구
그러면 불고기 피자에는 토핑을 더 추가할 수 있나요?,아니요,특정재료첨삭요구
벌집 피자에 불고기를 추가해서는 주문 못하나요?,네 그렇게는 안돼요,특정재료첨삭요구
그러면 포장은 얼마인가요?,"프라이드 포장이 12000원이에요, 그리고 무는 500원씩이고요",포장가격문의
직접 찾으러 가면 할인되나요?,"네, 2000원 할인됩니다.",포장시할인문의
배달료를 따로 받던데 매장에서 받으면 다른가요?,네 저희는 매장 할인이 따로 있습니다,포장시할인문의
그러면 저희들 가지러 가면,할인 없습니다,포장시할인문의
그러면 배달하고 가지러 가면 가격 좀 더 할인되죠?,할인되는 건 없습니다 저희는 콜라 대짜 드립니다,포장시할인문의
가서 가지러 가면요?,30프로 됩니다,포장시할인문의
그러면 찾으러 가는 게 할인 많이 되네요?,금액이 크면 할인이 많아요,할인방법문의
전화로 하는 거나 앱으로 하는 거나 똑같은 거예요?,만약 통신사 카드가 없을 경우에 할인이 안되고요 찾으러 오셔야 할인이 됩니다,할인방법문의
할인 혜택 같은 건 있어요?,네 어플로 하시면 할인 혜택이 좀 있어요,할인정보문의
쿠폰이나 할인 혜택 같은 건 있나요?,평상시에 쿠폰이 같이 가고 배달의 민족에서 주문하시면 좀 더 저렴할 거예요,할인정보문의
할인 같은 건 없고요?,네 따로 없어요,할인정보문의
두 판 뭐 그런 거도 있어요?,지금 원형 피자 행사를 하고 있어요 두 판 해서 19900원입니다,할인정보문의
네 만약에 KT 하면 할인 몇 프로 되는데 예?,KT는 20프로입니다,할인정보문의
할인카드나 적립카드는 있습니까?,통신사 제휴카드는 할인이 되고 적립은 따로 없어요,할인정보문의
혹시 배달 앱으로 하면 더 저렴한가요?,배달 앱으로 할인을 받으면 저희 측에서는 할인이 다 안됩니다,할인정보문의
SK VIP인데 혹시 할인되죠?,30프로 됩니다,할인정보문의
혹시 할인 적용되는 건 있어요?,그런 건 따로 없는 것으로 알고 있어요,할인정보문의
그리고 40프로 하는 게 끝났나요?,네 끝났습니다,할인정보문의
근데 사십 프로 할인하는 거 맞죠?,사십 프로 그거는 포장만 할인됩니다,할인정보문의
요즘 거기 피자 모두 사십 프로 하고 있던데 맞아요?,포장하러 오셔야 해요,할인정보문의
피자 사십 프로 행사하고 있던데 맞아요?,포장하시면 사십 프로 할인되고 도미노 홈페이지 들어가셔서 주문을 해주셔야 합니다,할인정보문의
그럼 할인은 혹시 됩니까?,할인하면 보통 통신사 카드 15프로씩 다 되고요 SK vip 있으면 30프로 되고요,할인정보문의
만약에 통신사 카드 없이는 할인 안되는가요?,신용카드로는 삼성카드나 포인트가 있을 경우에는 30프로 되고요 현대카드는 포인트 있으시면 50프로 되고요,할인정보문의
네 할인쿠폰이 있는데 사용할 수 있습니까?,네 쿠폰 20프로 할인행사 진행 중입니다,할인쿠폰사용
위메프에서 오늘 구매한 맞쵸킹 천 원권 쓸 수 있나요?,고객님 죄송합니다만 맞쵸킹은 오늘 재료 소진으로 판매가 끝났습니다,할인쿠폰사용
할인쿠폰이 있는데 사용 가능한가요?,"네, 사용 가능합니다.",할인쿠폰사용
포인트 적립하고 이런 거는 없고요?,네,할인쿠폰적립카드문의
근데 여기요 적립은 따로 안돼요? 제가 몇 번 시켜 먹어봤는데,적립은 없고 쿠폰 나갑니다,할인쿠폰적립카드문의
할인 쿠폰이나 적립 카드 이런 건 있어요?,저희가 피자박스에 쿠폰이 달려있거든요,할인쿠폰적립카드문의
이번 주 일주일간 매일 한다던데 아닌가요?,그건 지난주였고요 이번 주는 없습니다,할인행사기간문의
매일 같이 행사해요?,오늘 화요일만 하고 있습니다,할인행사기간문의
일주일간 한다던데요,그건 저번 주에 끝났고요 매주 화요일마다 인터넷으로 하시면 사십 프로 할인합니다,할인행사기간문의
언제까지 할인행사해요?,매주 화요일에 하고 있어요,할인행사기간문의
현금 영수증 해주세요,네 번호 찍어주세요,현금영수증발행요청
현금영수증 되나요?,네 배달원분께 알려주시면 가능하십니다,현금영수증발행요청
현금 영수증도 해주세요,네 전화번호 알려주세요,현금영수증발행요청
현금하면 할인되고 그런 것도 있나요?,그런 건 따로 없습니다,현금할인문의
깐풍 익을 가지러 가면 가격은 다른가요?,가게 와서 갖고 가시면 22000원요,홀가격과배달가격차이문의
그럼 레귤러는?,구천구백 원입니다,홀가격과배달가격차이문의
그럼 여기서는 얼만데요?,만 천구백 원입니다,홀가격과배달가격차이문의
홀에서도 먹을 수 있나요?,네,홀식사문의
그러면 혹시나 저희가 직접 가서 먹을 수 있는 자리도 있나요?,네 저희는 홀도 있어요,홀식사문의
오늘 영업하나요?,네 영업하고 있습니다.,휴일문의
일요일도 하세요?,네 열두시부터 열두시까지 합니다,휴일문의
토요일은 하세요,토요일 한시까지 하거든요,휴일문의
